Q9VWQ2	Q9VLG9
Q9W4D1	Q9VCU7
Q9VEX9	Q9VMV9
Q9VCR6	Q95TN4
Q7KN04	Q9VCR6
Q9VCR6	Q94516
Q95TJ6	Q9VCR6
Q9VHE5	Q9VCR6
Q9W3Z4	Q9W3Z4
Q9W3Z4	Q9W255
Q9W3Z4	Q23985
Q9W3Z4	Q9VB62
Q9W3Z4	Q9VX24
P84040	Q9VUY6
Q9VEX9	Q9VT01
Q8IQF8	Q9VT01
Q9W414	Q9W414
Q9W414	P23696
Q9W170	Q9VC66
Q9VUQ1	Q9W170
P20439	P28159
Q8MSC4	Q9VHC7
P20439	Q02361
P20439	Q9VRX7
P20439	Q8MLW7
Q9W140	Q9W140
Q24562	Q94535
Q94535	Q24562
Q9W255	Q9W255
Q9W255	P00528
Q02748	Q9W255
P48159	Q9VFR0
P48159	Q9VFP9
Q23985	Q02361
Q9I7I0	Q02361
Q9VCP0	Q02361
Q9VWQ2	Q02361
P55035	Q02361
Q9V3U6	Q02361
P22058	Q02361
Q9XZ22	P21461
Q9W123	Q9W123
P06002	Q9W424
Q08012	Q9W424
Q9W424	Q9V3U6
Q8T8R1	Q9VWR5
Q94516	Q9W403
Q8T3U2	Q9W403
Q9VFS8	Q9W403
Q23985	Q7KML2
Q9VBD0	Q23985
Q23985	P15372
Q23985	P23696
Q23985	P00528
Q23985	Q9V9J3
Q23985	Q9VRX7
Q23985	Q9VIJ0
Q9I7S8	Q9I7S8
Q9VL91	Q9VX24
Q9V3K3	Q9VH07
Q9XZ31	Q7KVQ0
Q9W237	Q9V3F2
Q8SYH8	Q9W528
Q8SYH8	P48554
Q27889	Q8SYH8
Q9W1A4	Q9V6B9
P40427	Q9W1A4
P49906	Q9VJQ5
Q9VGW6	Q9V6B9
O18335	P08570
P08570	Q7JXC4
Q9VXQ5	P08570
P48605	P08570
P08570	Q9VZX9
Q9W3X5	Q8SWV6
Q9V436	Q9VK14
Q8SX89	Q9VJQ5
P45594	Q9Y091
Q9W1H8	Q9VYG2
Q9VYG2	P23696
Q9VYG2	P00528
Q9VYG2	Q9VRX7
Q9VYG2	Q9VXP3
Q9VS59	Q9VYG2
Q95TJ6	Q9VYG2
P40427	Q9VYG2
Q9VYG2	Q9VIJ0
Q9VYG2	Q8I8V0
Q9VXF9	Q9VJD8
Q9VRX7	Q9VXF9
P39018	Q0E8E8
P02518	Q7KNS3
P02518	Q9VIE7
P02518	Q8I8V0
P54350	P92208
P54350	Q9U9Q2
Q0KHV6	Q9U9Q2
Q9VL71	Q9VL71
Q95RI5	Q8IP72
Q2PE14	Q9VHG6
Q9VSS2	Q9W144
Q9VM05	Q9W144
P00528	Q24323
A1Z9B0	A1ZAK4
P10734	O46036
